ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2012;4;Procesamiento y conservacion de carne, pescado,y sus productos;60,3;73,4;60,6;74;89,4;92,6;88,4
1010;2012;5;Procesamiento y conservacion de carne, pescado,y sus productos;66,5;82;65,3;80,7;86,3;90,4;85,1
1010;2012;6;Procesamiento y conservacion de carne, pescado,y sus productos;63,2;78,6;66;82;87,4;94,7;85,3
1010;2012;7;Procesamiento y conservacion de carne, pescado,y sus productos;64,3;79,2;65,3;80,6;88,4;91,5;87,4
1010;2012;8;Procesamiento y conservacion de carne, pescado,y sus productos;68,4;83,7;70,6;86,5;88;94;86,1
1010;2012;9;Procesamiento y conservacion de carne, pescado,y sus productos;65,6;81;66,5;82,3;88,1;92,2;86,8
1010;2012;10;Procesamiento y conservacion de carne, pescado,y sus productos;72,7;89,5;70,2;86,8;87,8;92,1;86,5
1010;2012;11;Procesamiento y conservacion de carne, pescado,y sus productos;77,7;96,3;70;86,8;93,8;92,5;94,1
1010;2012;12;Procesamiento y conservacion de carne, pescado,y sus productos;75,8;92,4;86,7;106,3;89,5;98,8;87
1010;2013;1;Procesamiento y conservacion de carne, pescado,y sus productos;66,1;79,3;63;75,7;89,8;94,1;88,4
1010;2013;2;Procesamiento y conservacion de carne, pescado,y sus productos;62,8;75,4;59,7;71,8;87,4;92,1;86
1010;2013;3;Procesamiento y conservacion de carne, pescado,y sus productos;61,6;74,4;63,9;76,9;83,8;89,9;82,1
1010;2013;4;Procesamiento y conservacion de carne, pescado,y sus productos;68,4;82,4;66,3;80;87,5;93,3;85,8
1010;2013;5;Procesamiento y conservacion de carne, pescado,y sus productos;71,4;85,9;70,3;84,7;87,4;92;86
1010;2013;6;Procesamiento y conservacion de carne, pescado,y sus productos;68;81,4;68,3;81,7;88,2;97,3;85,7
1010;2013;7;Procesamiento y conservacion de carne, pescado,y sus productos;69,3;82,4;68,7;81,8;87,4;91,6;86,1
1010;2013;8;Procesamiento y conservacion de carne, pescado,y sus productos;71,5;85,3;69,8;83,4;87,1;94,4;85
1010;2013;9;Procesamiento y conservacion de carne, pescado,y sus productos;68,9;83,3;65,8;79,4;87,6;93,7;85,8
1010;2013;10;Procesamiento y conservacion de carne, pescado,y sus productos;74,3;90,1;69;83,4;88,5;93,6;87
1010;2013;11;Procesamiento y conservacion de carne, pescado,y sus productos;73,8;89;71,9;87;90,9;95,3;89,8
1010;2013;12;Procesamiento y conservacion de carne, pescado,y sus productos;75;90,1;88,5;106,4;90,1;99,4;87,7
1010;2014;1;Procesamiento y conservacion de carne, pescado,y sus productos;70,4;83;68,1;80,3;90,1;97,8;87,9
1010;2014;2;Procesamiento y conservacion de carne, pescado,y sus productos;64,2;75,6;64;75,5;90,8;96,7;89,1
1010;2014;3;Procesamiento y conservacion de carne, pescado,y sus productos;68,6;80,6;69,5;81,7;89,4;92,6;88,3
1010;2014;4;Procesamiento y conservacion de carne, pescado,y sus productos;69,6;81,1;68,6;80;91,4;96,3;89,9
1010;2014;5;Procesamiento y conservacion de carne, pescado,y sus productos;73,9;85,4;74,7;86,3;90,4;96,4;88,7
1010;2014;6;Procesamiento y conservacion de carne, pescado,y sus productos;68,4;78,9;71,1;82;91,2;99;89
1010;2014;7;Procesamiento y conservacion de carne, pescado,y sus productos;76,8;88,6;76,7;88,5;92,1;96,8;90,7
1010;2014;8;Procesamiento y conservacion de carne, pescado,y sus productos;74,4;84,9;73;83,3;91,9;99;89,8
1010;2014;9;Procesamiento y conservacion de carne, pescado,y sus productos;76;87,4;74,7;86,1;91,7;95,8;90,4
1010;2014;10;Procesamiento y conservacion de carne, pescado,y sus productos;77,7;90;76,1;88,2;92;93,9;91,4
1010;2014;11;Procesamiento y conservacion de carne, pescado,y sus productos;81,8;94,9;74,1;85,9;94,2;94,9;94
1010;2014;12;Procesamiento y conservacion de carne, pescado,y sus productos;89,8;103;95,1;109,1;92,8;96;91,8
1010;2015;1;Procesamiento y conservacion de carne, pescado,y sus productos;78,6;90,2;75,3;86,4;90,8;94,1;89,9
1010;2015;2;Procesamiento y conservacion de carne, pescado,y sus productos;74,5;85,5;72,3;83;92,5;94,5;91,9
1010;2015;3;Procesamiento y conservacion de carne, pescado,y sus productos;79,7;91,3;78;89,4;91,4;91,6;91,3
1010;2015;4;Procesamiento y conservacion de carne, pescado,y sus productos;74;85;73,1;83,9;92,5;93,6;92,1
1010;2015;5;Procesamiento y conservacion de carne, pescado,y sus productos;76,2;88,2;74,2;85,9;91,2;94,3;90,3
1010;2015;6;Procesamiento y conservacion de carne, pescado,y sus productos;73,7;85,6;76,2;88,4;91,8;94,4;91,1
1010;2015;7;Procesamiento y conservacion de carne, pescado,y sus productos;80,4;93,3;83,4;96,8;92,2;92,4;92,2
1010;2015;8;Procesamiento y conservacion de carne, pescado,y sus productos;77,4;88,4;79,4;90,8;92,3;91,5;92,6
1010;2015;9;Procesamiento y conservacion de carne, pescado,y sus productos;84;94,6;84,5;95,2;92,2;90,4;92,7
1010;2015;10;Procesamiento y conservacion de carne, pescado,y sus productos;86,3;96,3;87;97;93,8;92,1;94,2
1010;2015;11;Procesamiento y conservacion de carne, pescado,y sus productos;90,8;99,7;87,3;95,8;92,7;91,3;93,2
1010;2015;12;Procesamiento y conservacion de carne, pescado,y sus productos;97,2;104,7;111,2;119,8;94,9;92,7;95,6
1010;2016;1;Procesamiento y conservacion de carne, pescado,y sus productos;87,4;92,6;84,1;89,1;92,6;89,9;93,4
